company_id,Market Cap,Ent. Value,Shares Offered,Sector,Industry,Employees,Founded,IPO Price,Current,Price Target,PT Upside (%),Beta (5Y),Return,Volume,Avg. Volume,Shares,Float,Shares Insiders,Shares Institut.,Revenue,Rev. Growth,Gross Profit,Op. Income,Net Income,EPS,EBIT,PS Ratio,PB Ratio,CapEx,Operating CF,FCF,FCF / Share,Investing CF,Financing CF,Working Capital,Net Cash,Total Cash,Total Debt,Equity,Debt / Equity,Assets,Liabilities,Asset Turnover,Inv. Turnover,Current Ratio,Quick Ratio,Gross Margin,Oper. Margin,Profit Margin,FCF Margin,ROE,ROA,ROIC,high_risk_pred,high_risk_proba,Company Name
2378,453428866.0,357008866.0,12000000.0,Healthcare,Medical Devices,291.0,2015.0,17.0,10.33,26.67,1.582,,-0.392,373674.0,538155.0,43348840.0,41336549.0,0.067,0.552,65124000.0,,35888000.0,-45251000.0,-54756000.0,-8.6,-54756000.0,6.96,,-3345000.0,-48273000.0,-51618000.0,-8.11,-3476000.0,55615000.0,111775000.0,96420000.0,103675000.0,7255000.0,-245360000.0,,149645000.0,73632000.0,0.5,,6.29,5.47,0.551,-0.695,-0.841,-0.793,,-0.422,,0,0.02154898313069147,"Beta Bionics, Inc."
2379,215932717.0,216100413.0,15000000.0,Financials,Shell Companies,,2024.0,10.0,10.0,,,,,84804.0,87716.0,21571700.0,,,,,,,-5928.0,-157572.0,-0.03,-157572.0,,,,,,,,,-410501.0,-167696.0,,167696.0,-50822.0,,362887.0,413709.0,,,0.01,,,,,,,,-0.051,0,0.020303041271589193,Stellar V Capital Corp.
2380,49625756.0,49704471.0,8000000.0,Financials,Shell Companies,41.0,2023.0,10.0,9.6,,,,-0.04,53056.0,27262.0,10295800.0,,0.157,0.077,,,,-25850.0,-25850.0,-0.01,-25850.0,,,,-9963.0,-9963.0,0.0,,,-2632.0,-78715.0,46285.0,125000.0,-2632.0,,169035.0,171667.0,,,0.99,,,,,,-2.511,-0.152,-0.211,0,0.020640358665606838,FG Merger II Corp.
2381,207096917.0,,20000000.0,Financials,Shell Companies,,2024.0,10.0,10.04,,,,0.004,0.0,22438.0,20627183.0,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.020203977265906812,Drugs Made In America Acquisition Corp.
2382,8121708609.0,9522708609.0,26086958.0,Consumer Staples,Farm Products,36500.0,1936.0,20.0,20.66,28.6,0.384,,0.033,731938.0,763665.0,393112711.0,,0.943,,14142000000.0,-0.058,1898000000.0,1118000000.0,953000000.0,2.51,1290000000.0,0.57,1.39,-251000000.0,1137000000.0,886000000.0,2.33,-469000000.0,-464000000.0,2496000000.0,-1401000000.0,943000000.0,2344000000.0,5834000000.0,0.4,11054000000.0,5220000000.0,1.16,,2.46,0.88,0.134,0.079,0.067,0.063,0.146,0.078,0.106,0,0.05170183344868201,"Smithfield Foods, Inc."
2383,2072093672.0,2127985809.0,7325000.0,Healthcare,Biotechnology,567.0,2009.0,17.25,23.9,,,1.0,0.362,54300.0,56664.0,86698480.0,174845965.0,,,134335616.0,3.418,130583917.0,-53228764.0,-55637848.0,-0.73,-45362015.0,15.42,57.15,-3333196.0,-15281597.0,-18614793.0,-0.24,-49682311.0,43195691.0,42205434.0,-55892137.0,173076849.0,228968986.0,36255524.0,6.32,357875943.0,321620420.0,0.39,,1.26,1.15,0.972,-0.396,-0.414,-0.139,-2.498,-0.159,-0.201,0,0.04986439814346555,Ascentage Pharma Group International
2384,21703936297.0,47584936297.0,70000000.0,Energy,Oil & Gas Exploration & Production,1500.0,2013.0,25.0,8.97,17.11,0.908,,-0.641,3639664.0,7283183.0,2419613857.0,,,0.787,4972000000.0,-0.229,3032000000.0,1763000000.0,1475000000.0,0.57,2564000000.0,4.37,7.49,-13717000000.0,2149000000.0,-11568000000.0,-4.92,-14159000000.0,10752000000.0,1017000000.0,-25881000000.0,3931000000.0,29812000000.0,2897000000.0,10.29,43491000000.0,35595000000.0,0.14,19.7,1.29,1.21,0.61,0.355,0.297,-2.327,0.669,0.041,0.042,0,0.05549692197222803,"Venture Global, Inc."
2385,79562064.0,,6000000.0,Financials,Shell Companies,,2024.0,10.0,10.01,,,,0.002,0.0,61462.0,7944290.0,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.020391120528190174,Columbus Acquisition Corp
2386,355980300.0,367660298.0,,Industrials,Engineering & Construction,178.0,2012.0,4.0,12.61,,,,2.152,477637.0,722608.0,28230000.0,8727270.0,0.667,,48821619.0,,2893526.0,1655754.0,929912.0,0.03,1813866.0,7.29,99.0,-59717.0,-6507832.0,-6567549.0,-0.23,-59717.0,5323832.0,-32738.0,-11679998.0,15426.0,11695424.0,3595671.0,3.25,22124018.0,18528347.0,2.63,,0.94,0.24,0.059,0.034,0.019,-0.134,0.327,0.05,0.098,1,0.7594347016580375,Skyline Builders Group Holding Limited
2388,16735875.0,16370669.0,1250000.0,Industrials,Pollution & Treatment Controls,16.0,2011.0,4.0,1.01,,,,-0.748,16944.0,35153.0,16250000.0,,0.919,,11542292.0,0.222,3212412.0,2470943.0,2103357.0,0.14,2484124.0,1.45,3.34,-78133.0,-362322.0,-440455.0,-0.03,-117481.0,-466614.0,3566540.0,365206.0,407031.0,41825.0,5017309.0,0.01,11237029.0,6219720.0,1.39,,1.58,1.48,0.278,0.214,0.182,-0.038,0.537,0.254,0.414,0,0.024911810327627137,Decent Holding Inc.
2389,117045000.0,117813491.0,2000000.0,Communication Services,Advertising Agencies,20.0,2014.0,4.0,7.65,,,,0.912,0.0,25406.0,15300000.0,,0.75,,5198836.0,-0.604,1180935.0,384407.0,244816.0,0.02,376130.0,22.51,257.57,,246614.0,246614.0,0.02,,-789124.0,1377439.0,-768491.0,379051.0,1147542.0,454419.0,2.53,2161301.0,1706882.0,2.35,,2.94,2.01,0.227,0.074,0.047,0.047,0.581,0.11,0.178,0,0.06520799759405194,Ctrl Group Limited
2390,21350000.0,22504666.0,2500000.0,Industrials,Integrated Freight & Logistics,2.0,2014.0,4.0,1.23,,,,-0.692,19806.0,85041.0,17500000.0,3685650.0,0.754,,16039513.0,,2337802.0,-645751.0,174871.0,0.01,205108.0,1.33,8.4,-1203981.0,-593734.0,-1797715.0,-0.12,-1211981.0,907358.0,468941.0,-1154666.0,557619.0,1712285.0,2541874.0,0.67,4985912.0,2444038.0,3.23,,1.26,0.99,0.146,-0.04,0.011,-0.112,0.071,0.035,-0.406,0,0.02819672597899191,Toppoint Holdings Inc.
